abstracta,coordinacion,numerica,verbal,persuasiva,mecanica,social,directiva,organizacion,musical,artistico,espacial
41,33,40,43,44,31,50,45,48,29,29,31
29,23,34,34,15,18,30,27,24,23,13,24
40,40,27,37,21,38,31,29,35,32,36,32
21,22,21,24,20,22,36,27,19,11,22,22
43,46,39,40,42,40,42,39,45,42,41,38
19,18,17,23,19,19,25,24,20,11,18,18
40,36,39,39,37,40,41,40,40,37,39,40
22,32,25,27,24,31,29,27,21,46,23,31
30,24,33,27,30,27,28,31,21,30,25,28
29,35,38,33,33,36,34,34,31,27,35,32
30,30,30,30,30,30,30,30,30,30,29,30
26,26,39,29,18,20,35,28,25,13,28,30
25,23,32,36,36,32,48,46,33,17,26,36
40,36,44,37,41,37,41,40,39,37,41,37
29,33,32,34,30,32,34,32,35,33,33,32
29,25,35,29,31,32,34,36,28,30,33,30
39,37,36,38,35,39,38,39,38,32,37,38
35,40,37,36,32,45,35,37,33,48,40,42
26,31,32,29,26,31,33,29,31,14,35,33
31,38,28,31,33,30,36,33,30,27,35,34
19,22,32,18,19,23,29,26,29,14,13,20
32,30,38,38,36,33,37,36,34,32,24,38
19,36,31,35,18,32,28,29,32,19,35,35
30,27,28,32,29,31,32,30,30,29,28,35
29,35,35,37,34,31,43,40,34,40,32,32
23,25,31,28,22,29,29,31,21,24,20,25
34,15,35,29,23,34,28,28,41,18,16,23
27,34,36,37,30,43,34,38,37,31,30,36
28,31,29,37,26,24,39,42,38,25,34,34
27,29,34,27,25,36,34,29,34,23,27,31
28,25,35,29,22,36,31,29,30,21,20,30
13,21,25,18,11,20,26,19,17,17,11,23
25,16,41,37,19,12,32,34,27,20,25,25
38,32,37,35,33,38,39,36,37,38,33,36
22,33,28,27,15,22,28,26,25,13,21,28
21,29,36,32,37,29,43,39,32,17,23,30
29,28,35,41,40,31,37,40,34,43,30,32
34,33,33,24,32,33,31,39,31,37,29,26
30,30,30,30,30,30,30,30,30,30,30,29
30,25,39,34,29,32,32,33,35,30,27,36
34,31,33,39,29,29,33,38,32,33,33,32
30,28,31,35,32,24,37,34,27,30,28,35
26,25,26,26,25,29,27,29,27,22,26,23
32,33,37,32,30,29,28,31,30,28,34,30
34,37,35,34,32,29,28,33,33,30,37,32
31,34,28,35,30,39,36,32,43,29,38,39
27,31,36,32,35,25,37,33,39,14,29,30
21,21,42,41,30,42,40,40,34,15,14,41
21,25,40,26,39,34,31,38,36,20,27,30
42,28,43,42,34,46,41,40,40,44,30,47
27,30,32,28,21,27,29,25,22,22,23,30
32,30,37,33,26,31,36,36,29,22,22,31
33,37,35,39,41,35,39,40,40,39,41,40
30,30,30,30,30,30,30,30,30,30,30,30
27,28,29,32,26,27,33,29,29,25,26,28
23,32,22,36,27,21,39,30,26,21,44,31
25,20,27,24,26,19,46,32,26,15,30,24
33,34,18,30,17,31,42,34,25,20,26,29
36,38,35,46,40,41,47,37,36,33,34,42
32,31,29,31,37,33,32,29,31,32,31,29
36,27,34,34,22,33,36,37,29,37,29,31
26,35,29,35,29,34,40,36,35,37,32,31
23,25,38,31,20,21,45,36,26,13,27,25
34,33,34,32,34,35,36,35,36,40,30,36
33,32,33,44,36,36,35,43,43,24,36,36
24,32,28,30,20,23,30,38,29,13,30,30
35,39,36,34,34,38,36,37,37,35,30,41
27,24,28,40,20,25,41,31,38,35,28,35
33,32,29,36,35,33,31,34,38,34,33,24
37,29,28,32,28,27,35,32,28,26,27,31
50,46,47,49,49,47,50,50,48,50,47,44
25,24,26,28,24,22,28,25,25,22,24,24
29,22,29,38,33,28,44,42,38,34,25,34
33,25,36,28,20,25,29,27,26,24,20,24
30,28,28,31,30,27,31,29,30,22,31,30
34,28,39,32,30,30,40,39,35,28,22,33
28,21,22,31,26,20,34,27,20,32,29,20
34,23,42,39,27,27,34,28,37,16,21,29
18,34,22,25,16,24,26,23,22,34,31,27
38,29,41,41,32,38,47,40,44,23,26,39
15,29,37,27,30,37,40,42,41,26,25,37
25,27,27,24,21,30,35,24,29,16,23,27
