Carrera,Biologicos,Mecanicos,Campestres,Geofisicos,Sociales,Literarios,Organizacion,Persuasivo,Calculo,Contabilidad,Musical,Artistico,Cientificos
0,28,41,37,34,27,20,31,21,30,23,41,32,32
0,24,32,29,31,33,27,37,28,32,30,28,32,35
0,34,36,40,39,32,32,33,32,40,31,33,33,35
2,32,36,33,37,24,30,25,20,40,19,39,32,32
0,35,41,37,38,29,24,34,29,37,33,33,33,37
0,36,40,28,35,27,39,40,26,43,38,33,33,36
2,25,35,38,33,28,33,45,28,44,38,40,35,34
0,31,45,35,37,16,22,29,16,31,27,36,34,34
2,34,45,40,33,39,38,39,31,35,40,37,36,44
2,41,42,38,42,31,44,39,35,38,35,43,46,41
0,42,41,44,44,44,44,42,42,44,42,44,45,41
0,32,41,36,34,31,25,39,25,36,31,40,33,35
0,35,36,34,33,30,36,35,36,38,34,31,34,37
0,35,44,23,38,31,38,40,37,49,40,19,20,37
0,27,34,23,27,19,20,39,25,39,33,14,21,29
0,33,40,34,31,39,34,44,29,44,19,45,34,37
0,31,34,36,38,32,35,34,31,41,36,36,36,25
2,26,44,33,30,26,36,33,33,40,35,41,36,41
0,39,39,34,37,24,29,37,26,48,46,33,25,38
0,34,47,38,38,31,26,40,33,49,33,43,45,40
2,31,33,27,34,30,27,35,31,38,40,28,28,33
2,33,27,28,34,33,36,35,30,36,29,34,27,36
0,34,42,38,34,37,30,33,32,44,32,33,39,35
0,40,38,33,42,36,34,31,33,35,30,45,37,39
0,40,44,38,40,31,38,38,38,35,40,42,37,35
0,35,41,26,34,22,15,40,25,45,35,36,27,37
2,32,27,29,28,38,29,41,35,31,40,29,30,34
0,35,31,34,38,31,23,43,30,48,35,21,32,36
0,33,33,36,30,33,30,32,28,30,32,33,32,30
0,34,34,28,28,33,32,34,35,34,32,29,29,29
0,42,35,29,35,26,28,32,25,48,23,36,39,46
0,30,35,20,24,21,31,31,24,39,35,22,32,34
0,29,39,34,30,28,25,31,26,44,32,25,24,33
0,30,28,28,27,34,31,29,31,23,33,29,32,31
0,33,42,29,35,32,31,35,28,39,38,43,43,35
0,30,38,35,36,40,33,37,40,43,27,34,35,35
0,30,33,21,22,30,22,38,16,41,33,29,34,26
0,28,32,24,31,34,35,41,32,47,35,34,44,35
0,32,41,34,34,34,30,36,35,41,33,27,32,34
0,27,40,22,35,29,29,36,31,41,31,27,30,23
0,44,50,42,47,33,31,32,28,28,26,44,42,47
0,34,33,38,30,28,34,37,33,32,36,37,33,34
0,40,40,40,40,40,40,40,40,40,40,40,40,40
0,30,31,30,29,31,29,34,31,39,32,31,33,32
0,30,29,18,31,23,20,29,17,22,33,24,18,26
0,31,36,28,30,30,29,28,26,36,29,42,33,30
0,29,35,33,33,30,25,36,27,39,29,27,32,32
0,37,39,37,38,40,31,39,33,41,36,33,35,40
0,43,36,41,38,36,44,38,42,38,41,38,38,38
0,34,36,31,32,33,34,36,34,34,33,37,37,34
0,41,42,37,35,37,38,38,29,39,36,36,38,39
0,31,29,29,33,32,33,34,31,33,28,33,34,27
0,31,38,48,40,28,28,17,30,39,13,46,40,43
1,24,20,29,19,17,23,23,29,17,23,20,25,16
0,30,36,32,27,30,31,36,30,40,31,31,37,29
0,31,33,35,33,26,29,33,28,37,29,32,37,33
2,25,38,12,19,31,17,37,29,40,35,26,31,30
0,43,37,43,38,35,30,29,29,38,32,35,34,45
0,34,33,33,30,31,33,30,25,33,23,38,46,30
0,32,35,38,39,28,30,31,16,31,26,28,38,32
0,32,33,33,33,33,33,30,27,36,34,29,32,35
0,37,42,39,44,34,24,31,22,43,29,25,34,42
2,15,21,16,11,13,14,17,18,27,15,15,14,15
1,33,35,22,33,16,18,34,18,41,37,23,20,37
0,44,45,42,43,43,39,36,29,46,34,44,41,47
0,43,41,42,38,38,36,39,29,39,23,32,43,47
0,30,31,35,37,35,31,32,36,36,29,31,32,36
0,33,41,41,37,34,39,43,27,37,42,34,46,41
2,28,34,29,28,29,24,36,26,35,36,32,32,29
2,37,43,35,38,36,30,31,34,43,35,32,35,40
2,24,44,25,30,24,42,42,44,50,36,45,36,24
0,36,40,41,37,37,34,37,39,41,34,28,36,34
2,39,36,32,35,31,29,38,28,43,37,29,35,36
0,21,34,21,17,25,15,18,16,26,19,27,17,21
2,22,28,17,27,29,33,38,32,45,35,15,29,23
0,36,32,33,30,27,32,41,37,42,33,37,28,26
2,25,35,26,24,32,30,35,37,41,38,25,33,26
0,42,42,36,41,32,38,37,32,40,31,36,39,40
0,29,37,27,30,33,38,31,32,29,26,30,32,30
0,27,33,25,30,33,24,33,31,36,37,32,26,29
0,38,37,29,33,33,25,27,44,35,39,32,32,34
0,27,32,27,29,28,28,33,20,42,38,31,33,29
0,28,34,29,27,32,32,34,34,39,27,37,34,36
0,29,36,31,28,27,26,30,26,33,29,35,27,27
2,37,43,36,32,39,30,33,37,38,32,37,39,34
0,37,40,32,36,34,37,39,34,46,35,36,42,36
0,27,25,32,30,25,19,27,29,24,22,40,29,25
0,32,44,25,32,23,29,28,27,35,18,36,38,35
0,41,45,43,39,33,40,45,32,41,44,36,42,39
0,31,29,17,24,35,31,39,36,41,35,26,35,30
0,34,39,16,32,30,31,41,21,44,38,20,27,35
0,37,49,31,39,39,42,41,36,39,44,46,37,34
0,33,32,29,33,38,37,36,27,46,20,34,36,40
0,37,45,43,44,39,31,42,41,50,40,32,37,41
0,22,34,23,19,22,24,34,16,43,26,29,22,37
0,38,43,37,40,33,38,34,30,46,27,42,36,40
0,39,34,31,40,25,28,31,23,32,32,42,32,35
0,36,38,32,37,34,30,32,27,38,31,33,25,37
0,35,39,32,40,29,41,41,40,42,32,41,42,39
0,28,32,35,30,25,22,26,26,33,22,38,33,35
1,35,35,36,35,34,35,34,34,36,34,34,39,36
1,36,43,42,40,32,40,36,41,42,41,42,39,40
1,31,33,31,30,30,30,33,30,39,36,31,30,34
1,37,30,45,34,35,42,29,29,31,24,47,50,36
1,28,30,29,30,25,30,29,30,34,35,34,28,30
1,30,30,30,30,30,30,30,30,30,30,30,30,30
1,48,41,46,43,49,40,46,46,42,47,39,43,46
1,20,47,34,32,35,25,46,35,44,48,45,30,26
0,38,38,31,42,22,24,30,22,32,35,36,35,36
1,37,39,33,35,30,42,43,29,37,30,30,41,38
1,27,30,29,34,32,29,33,35,33,35,28,29,31
0,29,35,27,27,28,29,29,27,47,25,27,31,36
0,27,33,27,29,29,29,29,26,42,25,26,30,28
0,42,41,41,36,26,47,34,24,46,31,47,42,41
1,36,37,40,37,36,37,33,39,28,37,34,38,35
1,34,34,31,30,32,31,41,29,44,39,31,34,37
0,33,32,27,34,27,25,30,23,39,26,33,29,35
0,40,50,31,41,32,30,39,38,44,40,38,34,46
1,38,39,40,35,33,34,38,28,32,31,48,44,39
0,31,30,31,33,30,30,29,27,29,32,30,31,29
0,33,41,23,24,28,21,32,32,41,26,18,27,35
1,32,36,31,33,33,27,33,25,35,30,28,28,33
1,40,46,31,43,38,41,35,35,39,34,43,44,40
1,36,33,45,38,33,24,38,24,36,39,33,38,40
1,34,39,36,31,32,30,37,31,40,31,38,31,33
0,37,41,38,37,29,28,37,27,35,31,34,33,39
1,35,34,16,35,36,35,43,40,41,45,43,37,37
1,29,31,32,31,32,25,32,31,33,32,25,28,30
1,39,31,26,37,35,32,40,30,35,42,34,32,44
